STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY18 Lodging Rate,FY18 M&IE,
MN,Duluth,St. Louis,1-Nov,31-May,$120 ,$64,
MN,Duluth,St. Louis,1-Jun,31-Aug,$173 ,$64,
MN,Duluth,St. Louis,1-Sep,30-Sep,$154 ,$64,
MN,Eagan / Burnsville / Mendota Heights,Dakota,,,$96 ,$59,
MN,Minneapolis / St. Paul,Hennepin / Ramsey,,,$149 ,$64,
MN,Rochester,Olmsted,,,$122 ,$64,
MO,Kansas City,Jackson / Clay / Cass / Platte,,,$121 ,$64,
MO,St. Louis,St. Louis / St. Louis City / St. Charles / Crawford / Franklin / Jefferson / Lincoln / Warren / Washington,,,$130 ,$54,
MS,Oxford,Lafayette,1-Oct,31-Jul,$99 ,$64,
MS,Oxford,Lafayette,1-Aug,30-Sep,$114 ,$64,
MS,Southaven,Desoto,,,$108 ,$59,
MS,Starkville ,Oktibbeha,,,$100 ,$54,
MT,Big Sky / West Yellowstone,Gallatin,1-Oct,31-May,$94 ,$59,
MT,Big Sky / West Yellowstone,Gallatin,1-Jun,30-Sep,$157 ,$59,
MT,Butte,Silver Bow,,,$95 ,$64,
MT,Glendive / Sidney,Dawson / Richland,,,$94 ,$69,
MT,Helena,Lewis and Clark,,,$99 ,$64,
MT,Missoula / Polson / Kalispell,Missoula / Lake / Flathead,1-Oct,30-Jun,$94 ,$59,
MT,Missoula / Polson / Kalispell,Missoula / Lake / Flathead,1-Jul,31-Aug,$135 ,$59,
MT,Missoula / Polson / Kalispell,Missoula / Lake / Flathead,1-Sep,30-Sep,$94 ,$59,
NC,Asheville ,Buncombe,1-Oct,31-Dec,$126 ,$59,
NC,Asheville ,Buncombe,1-Jan,28-Feb,$95 ,$59,
NC,Asheville ,Buncombe,1-Mar,30-Sep,$118 ,$59,
NC,Atlantic Beach / Morehead City,Carteret,1-Oct,31-May,$93 ,$64,
NC,Atlantic Beach / Morehead City,Carteret,1-Jun,31-Aug,$121 ,$64,
NC,Atlantic Beach / Morehead City,Carteret,1-Sep,30-Sep,$93 ,$64,
NC,Chapel Hill,Orange,,,$118 ,$69,
NC,Charlotte,Mecklenburg,,,$127 ,$59,
NC,Durham,Durham,,,$105 ,$59,
NC,Fayetteville,Cumberland,,,$106 ,$54,
NC,Greensboro,Guilford,1-Oct,31-Oct,$101 ,$54,
NC,Greensboro,Guilford,1-Nov,31-Mar,$93 ,$54,
NC,Greensboro,Guilford,1-Apr,30-Sep,$101 ,$54,
NC,Kill Devil Hills,Dare,1-Oct,31-Mar,$93 ,$64,
NC,Kill Devil Hills,Dare,1-Apr,30-Sep,$154 ,$64,
NC,Raleigh,Wake,,,$115 ,$59,
NC,Wilmington,New Hanover,,,$101 ,$59,
ND,Williston,Williams / Mountrail / McKenzie,,,$94 ,$69,
NE,Omaha,Douglas,,,$109 ,$64,
NH,Concord,Merrimack,,,$102 ,$59,
NH,Conway,Caroll,1-Oct,28-Feb,$130 ,$54,
NH,Conway,Caroll,1-Mar,30-Jun,$116 ,$54,
NH,Conway,Caroll,1-Jul,31-Aug,$158 ,$54,
NH,Conway,Caroll,1-Sep,30-Sep,$130 ,$54,
NH,Durham,Strafford,1-Oct,30-Apr,$104 ,$54,
NH,Durham,Strafford,1-May,31-Aug,$121 ,$54,
NH,Durham,Strafford,1-Sep,30-Sep,$104 ,$54,
NH,Laconia,Belknap,1-Oct,31-Oct,$142 ,$69,
NH,Laconia,Belknap,1-Nov,31-May,$116 ,$69,
NH,Laconia,Belknap,1-Jun,30-Sep,$142 ,$69,
NH,Lebanon / Lincoln / West Lebanon,Grafton / Sullivan ,,,$131 ,$64,
NH,Manchester,Hillsborough,,,$107 ,$64,
NH,Portsmouth,Rockingham,1-Oct,30-Jun,$116 ,$59,
NH,Portsmouth,Rockingham,1-Jul,31-Aug,$158 ,$59,
NH,Portsmouth,Rockingham,1-Sep,30-Sep,$116 ,$59,
NJ,Atlantic City / Ocean City / Cape May,Atlantic / Cape May,1-Oct,31-Dec,$99 ,$64,
NJ,Atlantic City / Ocean City / Cape May,Atlantic / Cape May,1-Jan,28-Feb,$93 ,$64,
NJ,Atlantic City / Ocean City / Cape May,Atlantic / Cape May,1-Mar,30-Sep,$99 ,$64,
NJ,Cherry Hill / Moorestown,Camden / Burlington,,,$103 ,$59,
NJ,Eatontown / Freehold,Monmouth,,,$106 ,$59,
NJ,Edison / Piscataway,Middlesex ,,,$109 ,$59,
NJ,Flemington,Hunterdon,,,$121 ,$64,
NJ,Newark,Essex / Bergen / Hudson / Passaic,,,$141 ,$64,
NJ,Parsippany,Morris,,,$149 ,$59,
NJ,Princeton / Trenton,Mercer,,,$129 ,$59,
NJ,Somerset,Somerset,,,$148 ,$59,
NJ,Springfield / Cranford / New Providence,Union,,,$119 ,$59,
NJ,Toms River,Ocean,,,$109 ,$64,
NM,Carlsbad,Eddy,,,$125 ,$54,
NM,Las Cruces,Dona Ana,,,$94 ,$59,
NM,Santa Fe,Santa Fe,1-Oct,31-Dec,$119 ,$64,
NM,Santa Fe,Santa Fe,1-Jan,28-Feb,$97 ,$64,
NM,Santa Fe,Santa Fe,1-Mar,30-Sep,$119 ,$64,
NM,Taos,Taos,,,$101 ,$69,
NV,Incline Village / Reno / Sparks,Washoe,1-Oct,30-Jun,$105 ,$64,
NV,Incline Village / Reno / Sparks,Washoe,1-Jul,31-Aug,$135 ,$64,
NV,Incline Village / Reno / Sparks,Washoe,1-Sep,30-Sep,$105 ,$64,
NV,Las Vegas,Clark,1-Oct,31-Dec,$106 ,$64,
NV,Las Vegas,Clark,1-Jan,31-Mar,$134 ,$64,
NV,Las Vegas,Clark,1-Apr,30-Sep,$106 ,$64,
NY,Albany,Albany,,,$115 ,$59,
NY,Binghamton / Owego,Broome / Tioga,,,$95 ,$59,
NY,Buffalo,Erie,,,$104 ,$64,
NY,Floral Park / Garden City / Great Neck,Nassau,,,$152 ,$69,
NY,Glens Falls,Warren,1-Oct,30-Jun,$102 ,$64,
NY,Glens Falls,Warren,1-Jul,31-Aug,$167 ,$64,
NY,Glens Falls,Warren,1-Sep,30-Sep,$102 ,$64,
NY,Ithaca / Waterloo / Romulus,Tompkins / Seneca,,,$122 ,$59,
NY,Kingston,Ulster,,,$119 ,$69,
NY,Lake Placid,Essex,1-Oct,30-Nov,$126 ,$74,
NY,Lake Placid,Essex,1-Dec,28-Feb,$139 ,$74,
NY,Lake Placid,Essex,1-Mar,30-Jun,$112 ,$74,
NY,Lake Placid,Essex,1-Jul,31-Aug,$179 ,$74,
NY,Lake Placid,Essex,1-Sep,30-Sep,$126 ,$74,
NY,New York City,Bronx / Kings / New York / Queens / Richmond,1-Oct,31-Dec,$291 ,$74,
NY,New York City,Bronx / Kings / New York / Queens / Richmond,1-Jan,28-Feb,$164 ,$74,
NY,New York City,Bronx / Kings / New York / Queens / Richmond,1-Mar,30-Jun,$253 ,$74,
NY,New York City,Bronx / Kings / New York / Queens / Richmond,1-Jul,31-Aug,$230 ,$74,
NY,New York City,Bronx / Kings / New York / Queens / Richmond,1-Sep,30-Sep,$291 ,$74,
NY,Niagara Falls,Niagara,1-Oct,30-Jun,$93 ,$59,
NY,Niagara Falls,Niagara,1-Jul,31-Aug,$125 ,$59,
NY,Niagara Falls,Niagara,1-Sep,30-Sep,$93 ,$59,
NY,Nyack / Palisades,Rockland,,,$118 ,$64,
NY,Poughkeepsie,Dutchess,,,$111 ,$64,
NY,Riverhead / Ronkonkoma / Melville,Suffolk,,,$134 ,$64,
NY,Rochester,Monroe,,,$106 ,$59,
NY,Saratoga Springs / Schenectady,Saratoga / Schenectady,1-Oct,30-Jun,$124 ,$64,
NY,Saratoga Springs / Schenectady,Saratoga / Schenectady,1-Jul,31-Aug,$192 ,$64,
NY,Saratoga Springs / Schenectady,Saratoga / Schenectady,1-Sep,30-Sep,$124 ,$64,
NY,Syracuse / Oswego,Onondaga / Oswego,,,$103 ,$59,
NY,Tarrytown / White Plains / New Rochelle,Westchester,,,$146 ,$64,
NY,Troy ,Rensselaer,,,$111 ,$64,
NY,West Point,Orange,,,$108 ,$59,
OH,Akron,Summit,,,$104 ,$54,
OH,Canton,Stark,,,$101 ,$59,
OH,Cincinnati,Hamilton / Clermont,,,$141 ,$69,
OH,Cleveland,Cuyahoga,,,$141 ,$69,
OH,Columbus,Franklin,,,$119 ,$59,
OH,Dayton / Fairborn,Greene / Darke / Montgomery,,,$101 ,$59,
OH,Hamilton,Butler / Warren,,,$111 ,$54,
OH,Medina / Wooster,Wayne / Medina,,,$105 ,$54,
OH,Mentor,Lake,,,$106 ,$59,
OH,Sandusky / Bellevue,Erie /  Huron,1-Oct,31-May,$102 ,$54,
OH,Sandusky / Bellevue,Erie /  Huron,1-Jun,31-Aug,$120 ,$54,
OH,Sandusky / Bellevue,Erie /  Huron,1-Sep,30-Sep,$102 ,$54,
OK,Oklahoma City,Oklahoma,,,$95 ,$59,
OR,Beaverton,Washington,,,$136 ,$59,
OR,Bend,Deschutes,1-Oct,31-May,$112 ,$59,
OR,Bend,Deschutes,1-Jun,31-Aug,$151 ,$59,
OR,Bend,Deschutes,1-Sep,30-Sep,$112 ,$59,
OR,Clackamas,Clackamas,,,$123 ,$59,
OR,Eugene / Florence,Lane,,,$118 ,$59,
OR,Lincoln City,Lincoln,1-Oct,30-Jun,$99 ,$59,
OR,Lincoln City,Lincoln,1-Jul,31-Aug,$131 ,$59,
OR,Lincoln City,Lincoln,1-Sep,30-Sep,$99 ,$59,
OR,Portland,Multnomah,1-Oct,31-Oct,$182 ,$64,
OR,Portland,Multnomah,1-Nov,28-Feb,$149 ,$64,
OR,Portland,Multnomah,1-Mar,30-Sep,$182 ,$64,
OR,Seaside,Clatsop,1-Oct,30-Jun,$108 ,$69,
OR,Seaside,Clatsop,1-Jul,31-Aug,$175 ,$69,
OR,Seaside,Clatsop,1-Sep,30-Sep,$108 ,$69,
PA,Allentown / Easton / Bethlehem,Lehigh / Northampton,,,$102 ,$59,
PA,Bucks,Bucks,,,$104 ,$59,
PA,Chester / Radnor / Essington,Delaware,,,$117 ,$64,
PA,Erie,Erie,,,$97 ,$54,
PA,Gettysburg,Adams,1-Oct,31-Oct,$106 ,$64,
PA,Gettysburg,Adams,1-Nov,31-Mar,$93 ,$64,
PA,Gettysburg,Adams,1-Apr,30-Sep,$106 ,$64,
PA,Harrisburg,Dauphin County excluding Hershey,,,$114 ,$69,
PA,Hershey,Hershey,1-Oct,31-Oct,$133 ,$69,
PA,Hershey,Hershey,1-Nov,31-May,$115 ,$69,
PA,Hershey,Hershey,1-Jun,31-Aug,$182 ,$69,
PA,Hershey,Hershey,1-Sep,30-Sep,$133 ,$69,
PA,Lancaster,Lancaster,1-Oct,31-May,$106 ,$59,
PA,Lancaster,Lancaster,1-Jun,31-Aug,$122 ,$59,
PA,Lancaster,Lancaster,1-Sep,30-Sep,$106 ,$59,
PA,Malvern / Frazer / Berwyn,Chester,,,$129 ,$59,
PA,Montgomery,Montgomery,,,$128 ,$64,
PA,Philadelphia,Philadelphia,1-Oct,30-Nov,$185 ,$64,
PA,Philadelphia,Philadelphia,1-Dec,31-Mar,$148 ,$64,
PA,Philadelphia,Philadelphia,1-Apr,31-Aug,$202 ,$64,
PA,Philadelphia,Philadelphia,1-Sep,30-Sep,$185 ,$64,
PA,Pittsburgh,Allegheny,,,$129 ,$54,
PA,Reading,Berks,,,$103 ,$54,
PA,State College ,Centre,,,$102 ,$59,
RI,East Greenwich / Warwick / North Kingstown,Kent / Washington,,,$101 ,$59,
RI,Jamestown / Middletown / Newport,Newport ,1-Oct,31-Oct,$180 ,$59,
RI,Jamestown / Middletown / Newport,Newport ,1-Nov,31-May,$114 ,$59,
RI,Jamestown / Middletown / Newport,Newport ,1-Jun,31-Aug,$212 ,$59,
RI,Jamestown / Middletown / Newport,Newport ,1-Sep,30-Sep,$180 ,$59,
RI,Providence / Bristol,Providence / Bristol,,,$151 ,$59,
SC,Aiken,Aiken,,,$96 ,$59,
SC,Charleston,Charleston / Berkeley / Dorchester,1-Oct,30-Nov,$192 ,$69,
SC,Charleston,Charleston / Berkeley / Dorchester,1-Dec,28-Feb,$157 ,$69,
SC,Charleston,Charleston / Berkeley / Dorchester,1-Mar,31-May,$219 ,$69,
SC,Charleston,Charleston / Berkeley / Dorchester,1-Jun,31-Aug,$177 ,$69,
SC,Charleston,Charleston / Berkeley / Dorchester,1-Sep,30-Sep,$192 ,$69,
SC,Columbia,Richland / Lexington,,,$105 ,$59,
SC,Hilton Head,Beaufort,1-Oct,31-Mar,$117 ,$64,
SC,Hilton Head,Beaufort,1-Apr,31-Jul,$158 ,$64,
SC,Hilton Head,Beaufort,1-Aug,30-Sep,$117 ,$64,
SC,Myrtle Beach,Horry,1-Oct,28-Feb,$93 ,$59,
SC,Myrtle Beach,Horry,1-Mar,31-May,$103 ,$59,
SC,Myrtle Beach,Horry,1-Jun,31-Aug,$157 ,$59,
SC,Myrtle Beach,Horry,1-Sep,30-Sep,$93 ,$59,
SD,Hot Springs,Fall River / Custer,1-Oct,31-Oct,$98 ,$59,
SD,Hot Springs,Fall River / Custer,1-Nov,31-May,$93 ,$59,
SD,Hot Springs,Fall River / Custer,1-Jun,31-Aug,$133 ,$59,
SD,Hot Springs,Fall River / Custer,1-Sep,30-Sep,$98 ,$59,
SD,Rapid City,Pennington,1-Oct,31-May,$93 ,$59,
SD,Rapid City,Pennington,1-Jun,31-Aug,$148 ,$59,
SD,Rapid City,Pennington,1-Sep,30-Sep,$93 ,$59,
SD,Sturgis / Spearfish ,Meade / Butte / Lawrence,1-Oct,31-May,$93 ,$59,
SD,Sturgis / Spearfish ,Meade / Butte / Lawrence,1-Jun,30-Sep,$124 ,$59,
TN,Brentwood / Franklin,Williamson,,,$127 ,$59,
TN,Chattanooga ,Hamilton,,,$103 ,$64,
TN,Knoxville,Knox,,,$98 ,$59,
TN,Memphis,Shelby,,,$117 ,$59,
TN,Nashville,Davidson,1-Oct,30-Jun,$170 ,$59,
TN,Nashville,Davidson,1-Jul,31-Aug,$162 ,$59,
TN,Nashville,Davidson,1-Sep,30-Sep,$170 ,$59,
TX,Arlington / Fort Worth / Grapevine,Tarrant County / City of Grapevine,,,$163 ,$59,
TX,Austin,Travis,1-Oct,31-Dec,$146 ,$59,
TX,Austin,Travis,1-Jan,31-Mar,$165 ,$59,
TX,Austin,Travis,1-Apr,30-Sep,$146 ,$59,
TX,Big Spring,Howard,1-Oct,31-Oct,$97 ,$54,
TX,Big Spring,Howard,1-Nov,31-Mar,$93 ,$54,
TX,Big Spring,Howard,1-Apr,30-Sep,$97 ,$54,
TX,College Station,Brazos,,,$107 ,$59,
TX,Corpus Christi,Nueces,,,$101 ,$59,
TX,Dallas,Dallas ,1-Oct,31-Dec,$142 ,$64,
TX,Dallas,Dallas ,1-Jan,30-Jun,$155 ,$64,
TX,Dallas,Dallas ,1-Jul,30-Sep,$142 ,$64,
TX,El Paso,El Paso,,,$98 ,$59,
TX,Galveston,Galveston,1-Oct,31-May,$99 ,$64,
TX,Galveston,Galveston,1-Jun,31-Aug,$121 ,$64,
TX,Galveston,Galveston,1-Sep,30-Sep,$99 ,$64,
TX,Houston (L.B. Johnson Space Center),Montgomery / Fort Bend / Harris,1-Oct,31-Jan,$121 ,$59,
TX,Houston (L.B. Johnson Space Center),Montgomery / Fort Bend / Harris,1-Feb,31-May,$137 ,$59,
TX,Houston (L.B. Johnson Space Center),Montgomery / Fort Bend / Harris,1-Jun,30-Sep,$121 ,$59,
TX,Midland,Midland,,,$105 ,$64,
TX,Pecos,Reeves,,,$105 ,$54,
TX,Plano,Collin,,,$120 ,$59,
TX,Round Rock ,Williamson,,,$101 ,$59,
TX,San Antonio,Bexar,,,$124 ,$64,
TX,South Padre Island,Cameron,1-Oct,28-Feb,$93 ,$59,
TX,South Padre Island,Cameron,1-Mar,31-May,$100 ,$59,
TX,South Padre Island,Cameron,1-Jun,31-Aug,$110 ,$59,
TX,South Padre Island,Cameron,1-Sep,30-Sep,$93 ,$59,
TX,Waco,McLennan,,,$102 ,$59,
UT,Moab,Grand,1-Oct,31-Oct,$168 ,$64,
UT,Moab,Grand,1-Nov,28-Feb,$93 ,$64,
UT,Moab,Grand,1-Mar,30-Sep,$168 ,$64,
UT,Park City,Summit,1-Oct,30-Nov,$130 ,$74,
UT,Park City,Summit,1-Dec,31-Mar,$254 ,$74,
UT,Park City,Summit,1-Apr,30-Sep,$130 ,$74,
UT,Provo,Utah,,,$100 ,$59,
UT,Salt Lake City,Salt Lake / Tooele,1-Oct,31-Dec,$117 ,$59,
UT,Salt Lake City,Salt Lake / Tooele,1-Jan,31-Aug,$124 ,$59,
UT,Salt Lake City,Salt Lake / Tooele,1-Sep,30-Sep,$117 ,$59,
VA,Abingdon,Washington,,,$99 ,$69,
VA,Blacksburg,Montgomery,,,$108 ,$59,
VA,Charlottesville,City of Charlottesville / Albemarle / Greene,,,$128 ,$69,
VA,Loudoun,Loudoun,,,$101 ,$59,
VA,Lynchburg,Campbell / Lynchburg City,,,$97 ,$59,
VA,Richmond,City of Richmond,1-Oct,31-Oct,$146 ,$64,
VA,Richmond,City of Richmond,1-Nov,31-Aug,$139 ,$64,
VA,Richmond,City of Richmond,1-Sep,30-Sep,$146 ,$64,
VA,Roanoke,City limits of Roanoke,,,$107 ,$59,
VA,Virginia Beach,City of Virginia Beach,1-Oct,31-May,$99 ,$59,
VA,Virginia Beach,City of Virginia Beach,1-Jun,31-Aug,$180 ,$59,
VA,Virginia Beach,City of Virginia Beach,1-Sep,30-Sep,$99 ,$59,
VA,Wallops Island,Accomack,1-Oct,30-Jun,$108 ,$64,
VA,Wallops Island,Accomack,1-Jul,31-Aug,$205 ,$64,
VA,Wallops Island,Accomack,1-Sep,30-Sep,$108 ,$64,
VA,Warrenton ,Fauquier,,,$97 ,$59,
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,1-Oct,31-Dec,$101 ,$64,
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,1-Jan,31-Aug,$108 ,$64,
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,1-Sep,30-Sep,$101 ,$64,
VT,Burlington / St. Albans / Middlebury,Chittenden / Franklin / Addison,1-Oct,31-Oct,$132 ,$64,
VT,Burlington / St. Albans / Middlebury,Chittenden / Franklin / Addison,1-Nov,30-Apr,$102 ,$64,
VT,Burlington / St. Albans / Middlebury,Chittenden / Franklin / Addison,1-May,30-Sep,$132 ,$64,
VT,Manchester,Bennington,1-Oct,31-Oct,$124 ,$69,
VT,Manchester,Bennington,1-Nov,30-Jun,$104 ,$69,
VT,Manchester,Bennington,1-Jul,30-Sep,$124 ,$69,
VT,Montpelier,Washington,,,$125 ,$74,
VT,Stowe ,Lamoille,,,$135 ,$74,
VT,White River Junction,Windsor,1-Oct,31-Oct,$111 ,$69,
VT,White River Junction,Windsor,1-Nov,31-May,$96 ,$69,
VT,White River Junction,Windsor,1-Jun,30-Sep,$111 ,$69,
WA,Everett / Lynnwood,Snohomish,1-Oct,31-May,$112 ,$64,
WA,Everett / Lynnwood,Snohomish,1-Jun,31-Aug,$135 ,$64,
WA,Everett / Lynnwood,Snohomish,1-Sep,30-Sep,$112 ,$64,
WA,Ocean Shores,Grays Harbor,1-Oct,30-Jun,$101 ,$69,
WA,Ocean Shores,Grays Harbor,1-Jul,31-Aug,$128 ,$69,
WA,Ocean Shores,Grays Harbor,1-Sep,30-Sep,$101 ,$69,
WA,Olympia / Tumwater,Thurston,1-Oct,31-Oct,$112 ,$69,
WA,Olympia / Tumwater,Thurston,1-Nov,31-Aug,$128 ,$69,
WA,Olympia / Tumwater,Thurston,1-Sep,30-Sep,$112 ,$69,
WA,Port Angeles / Port Townsend,Clallam / Jefferson,1-Oct,30-Jun,$107 ,$74,
WA,Port Angeles / Port Townsend,Clallam / Jefferson,1-Jul,31-Aug,$159 ,$74,
WA,Port Angeles / Port Townsend,Clallam / Jefferson,1-Sep,30-Sep,$107 ,$74,
WA,Richland / Pasco,Benton / Franklin,,,$96 ,$59,
WA,Seattle,King,1-Oct,31-May,$179 ,$74,
WA,Seattle,King,1-Jun,30-Sep,$244 ,$74,
WA,Spokane,Spokane,,,$102 ,$64,
WA,Tacoma,Pierce,,,$117 ,$64,
WA,Vancouver,Clark / Cowlitz / Skamania,1-Oct,31-Oct,$182 ,$64,
WA,Vancouver,Clark / Cowlitz / Skamania,1-Nov,28-Feb,$149 ,$64,
WA,Vancouver,Clark / Cowlitz / Skamania,1-Mar,30-Sep,$182 ,$64,
WI,Appleton,Outagamie,,,$99 ,$64,
WI,Brookfield / Racine,Waukesha / Racine,,,$104 ,$59,
WI,Madison,Dane,1-Oct,31-Oct,$122 ,$59,
WI,Madison,Dane,1-Nov,31-Jan,$107 ,$59,
WI,Madison,Dane,1-Feb,30-Sep,$122 ,$59,
WI,Milwaukee,Milwaukee,,,$120 ,$64,
WI,Sheboygan,Sheboygan ,1-Oct,31-May,$93 ,$59,
WI,Sheboygan,Sheboygan ,1-Jun,31-Aug,$104 ,$59,
WI,Sheboygan,Sheboygan ,1-Sep,30-Sep,$93 ,$59,
WI,Sturgeon Bay,Door,1-Oct,31-Oct,$99 ,$54,
WI,Sturgeon Bay,Door,1-Nov,31-May,$93 ,$54,
WI,Sturgeon Bay,Door,1-Jun,30-Sep,$99 ,$54,
WI,Wisconsin Dells,Columbia,1-Oct,28-Feb,$100 ,$59,
WI,Wisconsin Dells,Columbia,1-Mar,31-Aug,$118 ,$59,
WI,Wisconsin Dells,Columbia,1-Sep,30-Sep,$100 ,$59,
WV,Charleston,Kanawha,,,$110 ,$54,
WV,Morgantown,Monongalia,,,$97 ,$54,
WV,Wheeling,Ohio,,,$101 ,$54,
WY,Cody,Park,1-Oct,31-Mar,$123 ,$64,
WY,Cody,Park,1-Apr,31-May,$117 ,$64,
WY,Cody,Park,1-Jun,30-Sep,$172 ,$64,
WY,Evanston / Rock Springs,Sweetwater / Uinta,,,$100 ,$59,
WY,Jackson / Pinedale,Teton / Sublette,1-Oct,31-May,$129 ,$74,
WY,Jackson / Pinedale,Teton / Sublette,1-Jun,30-Sep,$205 ,$74,
